year,births
1880,194419
1881,185769
1882,213385
1883,208933
1884,234244
1885,231726
1886,245428
1887,237505
1888,287720
1889,277298
1890,289323
1891,274968
1892,321202
1893,312439
1894,325539
1895,337574
1896,343673
1897,333544
1898,367049
1899,326062
1900,433554
1901,332676
1902,372247
1903,366927
1904,388524
1905,407857
1906,412081
1907,447811
1908,469985
1909,491965
1910,567863
1911,619888
1912,955757
1913,1100469
1914,1371000
1915,1774243
1916,1872977
1917,1942470
1918,2103747
1919,2044411
1920,2191660
1921,2260519
1922,2216979
1923,2230849
1924,2308079
1925,2262719
1926,2228063
1927,2248719
1928,2194053
1929,2128642
1930,2159135
1931,2044069
1932,2051397
1933,1943915
1934,2019871
1935,2034794
1936,2023188
1937,2074988
1938,2156351
1939,2148525
1940,2246423
1941,2378330
1942,2668504
1943,2756378
1944,2627583
1945,2593589
1946,3127804
1947,3502567
1948,3356291
1949,3393722
1950,3422938
1951,3609739
1952,3730926
1953,3789222
1954,3912663
1955,3951859
1956,4061295
1957,4140960
1958,4078403
1959,4102224
1960,4102445
1961,4094267
1962,3988747
1963,3902295
1964,3833295
1965,3565213
1966,3418655
1967,3342447
1968,3328828
1969,3430322
1970,3560351
1971,3375514
1972,3079413
1973,2954406
1974,2976893
1975,2961190
1976,2974840
1977,3117448
1978,3117502
1979,3270247
1980,3386111
1981,3402286
1982,3450819
1983,3408924
1984,3438093
1985,3520627
1986,3504262
1987,3549494
1988,3643306
1989,3796443
1990,3905767
1991,3851608
1992,3802622
1993,3735142
1994,3685359
1995,3634081
1996,3621892
1997,3599897
1998,3651902
1999,3667207
2000,3753832
2001,3718207
2002,3713664
2003,3776324
2004,3795593
2005,3820598
2006,3934384
2007,3977894
2008,3911272
2009,3797176
2010,3672212
2011,3635294
2012,3634314
2013,3623553
2014,3684455
2015,3679367
2016,3647980
2017,3554852
2018,3495336
2019,3450230
2020,3320168
2021,3366863
2022,3361981
2023,3281976
